Instant, Gate ID, Position, Vehicle ID, Priority, Time Waiting, Action
0,G4,2,V5,2,1,Se movio de pos: 2 a pos: 1
0,G2,2,V3,2,1,Se movio de pos: 2 a pos: 1
0,G0,2,V1,2,1,Se movio de pos: 2 a pos: 1
0,G3,2,V4,2,1,Se movio de pos: 2 a pos: 1
0,G1,2,V2,2,1,Se movio de pos: 2 a pos: 1
1,G0,1,V1,2,2,Se movio de pos: 1 a pos: 0
1,G0,2,V6,2,1,Se movio de pos: 2 a pos: 1
1,G1,1,V2,2,2,Se movio de pos: 1 a pos: 0
1,G1,2,V7,2,1,Se movio de pos: 2 a pos: 1
1,G2,1,V3,2,2,Se movio de pos: 1 a pos: 0
1,G2,2,V8,2,1,Se movio de pos: 2 a pos: 1
1,G3,1,V4,2,2,Se movio de pos: 1 a pos: 0
1,G3,2,V9,2,1,Se movio de pos: 2 a pos: 1
1,G4,1,V5,2,2,Se movio de pos: 1 a pos: 0
1,G4,2,V10,2,1,Se movio de pos: 2 a pos: 1
2,G1,0,V2,2,2,Pasó un instante en la caja
2,G1,1,V7,2,2,Esperó a que se desocupe la caja
2,G0,0,V1,2,2,Pasó un instante en la caja
2,G0,1,V6,2,2,Esperó a que se desocupe la caja
2,G2,0,V3,2,2,Pasó un instante en la caja
2,G2,1,V8,2,2,Esperó a que se desocupe la caja
2,G3,0,V4,2,2,Pasó un instante en la caja
2,G3,1,V9,2,2,Esperó a que se desocupe la caja
2,G4,0,V5,2,2,Pasó un instante en la caja
2,G4,1,V10,2,2,Esperó a que se desocupe la caja
3,G0,0,V1,2,3,Pasó un instante en la caja
3,G0,1,V6,2,3,Esperó a que se desocupe la caja
3,G1,0,V2,2,3,Pasó un instante en la caja
3,G1,1,V7,2,3,Esperó a que se desocupe la caja
3,G3,0,V4,2,3,Pasó un instante en la caja
3,G3,1,V9,2,3,Esperó a que se desocupe la caja
3,G2,0,V3,2,3,Pasó un instante en la caja
3,G2,1,V8,2,3,Esperó a que se desocupe la caja
3,G4,0,V5,2,3,Pasó un instante en la caja
3,G4,1,V10,2,3,Esperó a que se desocupe la caja
4,G4,0,V5,2,5,Se le cobró lo correspondiente
4,G4,1,V10,2,4,Se movio de pos: 1 a pos: 0
4,G0,0,V1,2,5,Se le cobró lo correspondiente
4,G0,1,V6,2,4,Se movio de pos: 1 a pos: 0
4,G1,0,V2,2,5,Se le cobró lo correspondiente
4,G1,1,V7,2,4,Se movio de pos: 1 a pos: 0
4,G3,0,V4,2,5,Se le cobró lo correspondiente
4,G3,1,V9,2,4,Se movio de pos: 1 a pos: 0
4,G2,0,V3,2,5,Se le cobró lo correspondiente
4,G2,1,V8,2,4,Se movio de pos: 1 a pos: 0
5,G0,0,V6,2,4,Pasó un instante en la caja
5,G1,0,V7,2,4,Pasó un instante en la caja
5,G2,0,V8,2,4,Pasó un instante en la caja
5,G3,0,V9,2,4,Pasó un instante en la caja
5,G4,0,V10,2,4,Pasó un instante en la caja
6,G0,0,V6,2,5,Pasó un instante en la caja
6,G1,0,V7,2,5,Pasó un instante en la caja
6,G2,0,V8,2,5,Pasó un instante en la caja
6,G3,0,V9,2,5,Pasó un instante en la caja
6,G4,0,V10,2,5,Pasó un instante en la caja
7,G0,0,V6,2,7,Se le cobró lo correspondiente
7,G2,0,V8,2,7,Se le cobró lo correspondiente
7,G1,0,V7,2,7,Se le cobró lo correspondiente
7,G4,0,V10,2,7,Se le cobró lo correspondiente
7,G3,0,V9,2,7,Se le cobró lo correspondiente
